email_id,predicted_category,top_driving_features
0,Account Management,account (0.35) | request (0.19) | transfer (0.18) | num_features__question_mark_count (0.13) | bool_features__is_department_greeting (-0.05)
21,Account Management,account (0.29) | num_features__question_mark_count (0.13) | beneficiary (0.13) | bool_features__is_department_greeting (-0.05) | bool_features__is_internal_signature (0.05)
22,Account Management,account (0.28) | statement (0.16) | num_features__question_mark_count (-0.11) | dispute (0.11) | bool_features__is_department_greeting (0.08)
23,Insurance Claims,insurance (0.29) | claim (0.29) | num_features__question_mark_count (0.18) | life (0.12) | bool_features__is_internal_signature (0.05)
24,Investment Advisory,market (0.20) | num_features__question_mark_count (-0.13) | volatility (0.10) | concerns (0.10) | bool_features__is_department_greeting (0.10)
25,Investment Advisory,investment (0.24) | num_features__question_mark_count (0.11) | alternative (0.10) | bool_features__is_department_greeting (0.10) | bool_features__is_internal_signature (0.05)
26,Investment Advisory,num_features__question_mark_count (-0.13) | assessment (0.13) | risk (0.13) | bool_features__is_department_greeting (0.10) | bool_features__is_internal_signature (0.05)
27,Loan Processing,loan (0.32) | business (0.21) | num_features__question_mark_count (0.16) | bool_features__is_department_greeting (0.08) | business (0.04)
28,Other,bool_features__is_internal_signature (0.78) | bool_features__is_department_greeting (0.20) | num_features__question_mark_count (0.14) | satisfaction (0.05) | survey (0.05)
29,Loan Processing,loan (0.28) | num_features__question_mark_count (0.16) | student (0.15) | refinancing (0.15) | bool_features__is_department_greeting (-0.05)
30,Investment Advisory,investment (0.22) | num_features__question_mark_count (0.11) | bool_features__is_department_greeting (0.10) | strategy (0.08) | consultation (0.08)
31,Insurance Claims,insurance (0.29) | claim (0.29) | num_features__question_mark_count (0.18) | property (0.12) | bool_features__is_internal_signature (0.05)
32,Investment Advisory,num_features__question_mark_count (-0.13) | plan (0.11) | reinvestment (0.11) | dividend (0.11) | bool_features__is_department_greeting (0.10)
33,Investment Advisory,market (0.22) | analysis (0.17) | bool_features__is_department_greeting (-0.14) | num_features__question_mark_count (-0.13) | bool_features__is_internal_signature (0.05)
34,Investment Advisory,investment (0.26) | education (0.12) | num_features__question_mark_count (0.11) | bool_features__is_department_greeting (0.10) | bool_features__is_internal_signature (0.05)
35,Loan Processing,num_features__question_mark_count (0.16) | application (0.15) | status (0.13) | mortgage (0.13) | bool_features__is_internal_sender (0.10)
36,Loan Processing,num_features__question_mark_count (0.16) | application (0.15) | credit (0.14) | card (0.14) | bool_features__is_department_greeting (-0.05)
37,Loan Processing,loan (0.29) | business (0.19) | num_features__question_mark_count (0.16) | small (0.12) | bool_features__is_department_greeting (0.08)
38,Account Management,request (0.15) | num_features__question_mark_count (0.13) | reset (0.09) | password (0.09) | account (-0.08)
39,Investment Advisory,num_features__question_mark_count (0.11) | bool_features__is_department_greeting (0.10) | harvesting (0.07) | tax (0.07) | loss (0.07)
40,Account Management,account (0.35) | statement (0.20) | request (0.19) | num_features__question_mark_count (-0.11) | bool_features__is_department_greeting (0.08)
41,Investment Advisory,rebalancing (0.15) | portfolio (0.15) | num_features__question_mark_count (-0.13) | bool_features__is_department_greeting (0.10) | bool_features__is_internal_signature (0.05)
42,Account Management,account (0.38) | consolidation (0.17) | num_features__question_mark_count (0.13) | bool_features__is_department_greeting (-0.05) | bool_features__is_internal_signature (0.05)
43,Account Management,request (0.15) | num_features__question_mark_count (0.13) | check (0.10) | order (0.10) | account (-0.08)
